seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
2F60332-PURPLE-4	B01KIDGKSY	B01KIDGKSY	NewItem	SELLABLE	0
28738PK-LXL	B07FXVTFKK	B07FXVTFKK	NewItem	SELLABLE	0
2F60332-PINK-6X	B01KIDH114	B01KIDH114	NewItem	SELLABLE	0
28742PK-SM	B07FXWWXK8	B07FXWWXK8	NewItem	SELLABLE	0
29738TQ-23X	B07FXYNBZZ	B07FXYNBZZ	NewItem	SELLABLE	0
29742PK-12X	B07FXX69GP	B07FXX69GP	NewItem	SELLABLE	0
2F60332-Black-4	B01KIDGTMQ	B01KIDGTMQ	NewItem	SELLABLE	0
2F60363-PINK-16	B01KIDGTJ4	B01KIDGTJ4	NewItem	SELLABLE	0
2F60363-PURPLE-7/8	B01KIDH59C	B01KIDH59C	NewItem	SELLABLE	0
2F3505A8 - GREY - SIZE S	B01MZZQMHQ	B01MZZQMHQ	NewItem	SELLABLE	0
2F60333-BLUE-7/8	B01KIDGXAE	B01KIDGXAE	NewItem	SELLABLE	0
28740PP-LXL	B07FXV8RQP	B07FXV8RQP	NewItem	SELLABLE	0
29740PP-23X	B07FXVH6TH	B07FXVH6TH	NewItem	SELLABLE	0
2F3505A8 - GREY - SIZE XL	B01MZZQNWT	B01MZZQNWT	NewItem	SELLABLE	0
29742TQ-12X	B07FXW73LR	B07FXW73LR	NewItem	SELLABLE	0
29738TQ-12X	B07FXVRMP8	B07FXVRMP8	NewItem	SELLABLE	0
2F50040-PINK-18M	B00VC11Y06	B00VC11Y06	NewItem	SELLABLE	0
2F60332-PURPLE-6X	B01KIDGNNG	B01KIDGNNG	NewItem	SELLABLE	0
2F3505A8 - BLACK - SIZE XL	B01MQQJ9I1	B01MQQJ9I1	NewItem	SELLABLE	0
2F50041-LAVENDER-2T	B01427P808	B01427P808	NewItem	SELLABLE	0
2F60333-Black-7/8	B01KIDGHK0	B01KIDGHK0	NewItem	SELLABLE	0
28742PK-LXL	B07FXXZJX1	B07FXXZJX1	NewItem	SELLABLE	0
28738TQ-LXL	B07FXX2XKF	B07FXX2XKF	NewItem	SELLABLE	0
2F3505A8 - GREY - SIZE L	B01MZZQL7H	B01MZZQL7H	NewItem	SELLABLE	0
2F60332-PURPLE-5/6	B01KIDGNO0	B01KIDGNO0	NewItem	SELLABLE	0
2F50041-PINK-3T	B01427PRAY	B01427PRAY	NewItem	SELLABLE	0
2F3505A8 - BLACK - SIZE L	B01NCEYWNV	B01NCEYWNV	NewItem	SELLABLE	0
2F3505A8 - GREY - SIZE M	B01N9C2GNV	B01N9C2GNV	NewItem	SELLABLE	0
2F60333-BLUE-14	B01KIDGNJU	B01KIDGNJU	NewItem	SELLABLE	0
2F60333-Black-14	B01KIDGKHU	B01KIDGKHU	NewItem	SELLABLE	0
2F60502 - BLACK - SIZE 6X	B01MQQJ9WO	B01MQQJ9WO	NewItem	SELLABLE	0
2F60363-PURPLE-14	B01KIDGHKA	B01KIDGHKA	NewItem	SELLABLE	0
29740OR-23X	B07FXVTXRT	B07FXVTXRT	NewItem	SELLABLE	0
2F60363-PURPLE-16	B01KIDGTK8	B01KIDGTK8	NewItem	SELLABLE	0
29742PK-23X	B07FXY37ZS	B07FXY37ZS	NewItem	SELLABLE	0
2F5317S1-ASPHALT-4T	B0142BC1CC	B0142BC1CC	NewItem	SELLABLE	0
29742TQ-23X	B07FXX31WH	B07FXX31WH	NewItem	SELLABLE	0
2F60332-Black-5/6	B01KIDGKUM	B01KIDGKUM	NewItem	SELLABLE	0
2F60331-PURPLE-4T	B01KK0RRG4	B01KK0RRG4	NewItem	SELLABLE	0
24814033615.missing74	X0027O3RRB	B07L9DBTQQ	NewItem	SELLABLE	8
2F60363-PINK-7/8	B01KIDGKIO	B01KIDGKIO	NewItem	SELLABLE	0
2F60332-PINK-5/6	B01KIDH4QQ	B01KIDH4QQ	NewItem	SELLABLE	0
2F60363-PINK-10/12	B01KIDGNH2	B01KIDGNH2	NewItem	SELLABLE	0
29738PK-12X	B07FXX9GLD	B07FXX9GLD	NewItem	SELLABLE	0
2F60363-PINK-14	B01KIDGKIY	B01KIDGKIY	NewItem	SELLABLE	0
2F60332-Black-6X	B01KIDH0ZG	B01KIDH0ZG	NewItem	SELLABLE	0
2F60333-Black-10/12	B01KIDGNKY	B01KIDGNKY	NewItem	SELLABLE	0
28742TQ-SM	B07FXY3FDN	B07FXY3FDN	NewItem	SELLABLE	0
2F60331-PINK-2T	B01KK0RRSW	B01KK0RRSW	NewItem	SELLABLE	0
2F60333-PINK-10/12	B01KIDGES0	B01KIDGES0	NewItem	SELLABLE	0
2F60502 - BLACK - SIZE 4	B01MTV30MH	B01MTV30MH	NewItem	SELLABLE	0
2F60331-PURPLE-3T	B01KK0RW96	B01KK0RW96	NewItem	SELLABLE	0
28738PK-SM	B07FXXXHG5	B07FXXXHG5	NewItem	SELLABLE	0
28740OR-SM	B07FXSWBG8	B07FXSWBG8	NewItem	SELLABLE	0
28740PP-SM	B07FXX6BBQ	B07FXX6BBQ	NewItem	SELLABLE	0
2F60332-PINK-4	B01KIDGXD6	B01KIDGXD6	NewItem	SELLABLE	0
28742TQ-LXL	B07FXY497Y	B07FXY497Y	NewItem	SELLABLE	0
2F50041-LAVENDER-4T	B01427PREU	B01427PREU	NewItem	SELLABLE	0
28740OR-LXL	B07FXXFY41	B07FXXFY41	NewItem	SELLABLE	0
29740OR-12X	B07FXXDJYF	B07FXXDJYF	NewItem	SELLABLE	0
2F50041-PINK-4T	B01427PR9K	B01427PR9K	NewItem	SELLABLE	0
2F50041-PINK-2T	B01427PR3G	B01427PR3G	NewItem	SELLABLE	0
2F3505A8 - BLACK - SIZE S	B01N59U0T1	B01N59U0T1	NewItem	SELLABLE	0
2F50041-LAVENDER-3T	B01427PR7M	B01427PR7M	NewItem	SELLABLE	0
2F5317S1-ASPHALT-3T	B0142BC19K	B0142BC19K	NewItem	SELLABLE	0
2F60502 - BLACK - SIZE 5/6	B01MRRXELS	B01MRRXELS	NewItem	SELLABLE	0
29738PK-23X	B07FXZJH8X	B07FXZJH8X	NewItem	SELLABLE	0
2F50040-PINK-12M	B00VC11XU2	B00VC11XU2	NewItem	SELLABLE	0
2F60330-PINK-18M	B01KK0RRIC	B01KK0RRIC	NewItem	SELLABLE	0
2F60333-PURPLE-16	B01KIDGQRY	B01KIDGQRY	NewItem	SELLABLE	0
2F60333-PINK-14	B01KIDGESK	B01KIDGESK	NewItem	SELLABLE	0
2F60502 - PINK - SIZE 6X	B01MRRXHWC	B01MRRXHWC	NewItem	SELLABLE	0
2F60502 - PINK - SIZE 4	B01NADNLNI	B01NADNLNI	NewItem	SELLABLE	0
2F60333-BLUE-10/12	B01KIDGQFQ	B01KIDGQFQ	NewItem	SELLABLE	0
2F60502 - PINK - SIZE 5/6	B01NCEN24G	B01NCEN24G	NewItem	SELLABLE	0
2F60330-PINK-24M	B01KK0RU66	B01KK0RU66	NewItem	SELLABLE	0
2F60331-PINK-3T	B01KK0RRLO	B01KK0RRLO	NewItem	SELLABLE	0
2F60333-BLUE-16	B01KIDGTLW	B01KIDGTLW	NewItem	SELLABLE	0
2F3505A8 - GREY - SIZE XS	B01NCEQIIH	B01NCEQIIH	NewItem	SELLABLE	0
2F3505A8 - BLACK - SIZE XS	B01N0LBDG7	B01N0LBDG7	NewItem	SELLABLE	0
2F60330-PINK-12M	B01KK0RRHI	B01KK0RRHI	NewItem	SELLABLE	0
2F60333-Black-16	B01KIDGET4	B01KIDGET4	NewItem	SELLABLE	0
2F60333-PINK-7/8	B01KIDH0SI	B01KIDH0SI	NewItem	SELLABLE	0
2F60333-PINK-16	B01KIDGHMI	B01KIDGHMI	NewItem	SELLABLE	0
29740PP-12X	B07FXYR6NM	B07FXYR6NM	NewItem	SELLABLE	0
2F5317S1-ASPHALT-2T	B0142BC19A	B0142BC19A	NewItem	SELLABLE	0
2F60331-PINK-4T	B01KK0RRM8	B01KK0RRM8	NewItem	SELLABLE	0
2F60333-PURPLE-14	B01KIDH0WO	B01KIDH0WO	NewItem	SELLABLE	0
2F50040-PINK-24M	B00VC11Y1A	B00VC11Y1A	NewItem	SELLABLE	0
2F60331-PURPLE-2T	B01KK0RRI2	B01KK0RRI2	NewItem	SELLABLE	0
2F60333-PURPLE-10/12	B01KIDH4OI	B01KIDH4OI	NewItem	SELLABLE	0
2F60363-PURPLE-10/12	B01KIDGEP8	B01KIDGEP8	NewItem	SELLABLE	0
2F3505A8 - BLACK - SIZE M	B01NBF2IH5	B01NBF2IH5	NewItem	SELLABLE	0
2F60333-PURPLE-7/8	B01KIDGXA4	B01KIDGXA4	NewItem	SELLABLE	0
28738TQ-SM	B07FXYX19Z	B07FXYX19Z	NewItem	SELLABLE	0
5F7374B1-BLACK-4T	B075763RQM	B075763RQM	NewItem	SELLABLE	0
5F2552C2-BLACK-4	B01M0DWIJ3	B01M0DWIJ3	NewItem	SELLABLE	0
5F2501D5-BLACK-12/14	B01M0PK7FN	B01M0PK7FN	NewItem	SELLABLE	0
5F2552C2-BLACK-5/6	B01LZQG1FO	B01LZQG1FO	NewItem	SELLABLE	0
5F2552C3-BLACK-7/8	B01M1N70KL	B01M1N70KL	NewItem	SELLABLE	0
