sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5
24814033615.missing74	B07L9DBTQQ	24.98													
5F56967-LIME-L	B076B5K9JN	24.99		24.99	percent	5	5.00								
5F56967-LIME-XL	B076B2VKZ6	24.99		24.99	percent	5	5.00								
5F67597-LIME-M	B076B442VQ	29.99		39.99	percent	5	5.00								
5F7375B6-BLACK-10/12	B07576Z5JN	27.99		22.99	percent	5	5.00								
5F7375B6-BLACK-14/16	B075777GRP	26.99		22.99	percent	5	5.00								
5F7375B6-BLACK-18	B07576GM33	27.99		19.99	percent	5	5.00								
5S73645-DEEP BLACK(001)-10/12	B07N34F6GZ	27.99		24.99											
5S73645-DEEP BLACK(001)-14/16	B07N334G65	27.99		24.99											
5S73645-DEEP BLACK(001)-18/20	B07N3426FJ	24.99		24.99											
5S73645-DEEP BLACK(001)-8	B07N344F44	29.99		24.99											
5S73645-ESTATE BLUE(414)-10/12	B07N34Y4LW	27.99		24.99											
5S73645-ESTATE BLUE(414)-14/16	B07N33LHV4	27.99		24.99											
5S73645-ESTATE BLUE(414)-18/20	B07N33JNDB	24.99		24.99											
5S73645-ESTATE BLUE(414)-8	B07N344F46	27.99		24.99											
5S73645-GREY-10/12	B0799773ZR	19.99		24.99											
5S73645-GREY-14/16	B0798Y2VTZ	27.99		24.99											
5S73645-GREY-18/20	B0798ZLT12	27.99		24.99											
5S73645-GREY-8	B07993L3T4	27.99		24.99											
5S83005-GREY(020)-10/12	B07N345FKK	26.99		24.99											
5S83005-GREY(020)-14/16	B07N33GKJ1	26.99		24.99											
5S83005-GREY(020)-18/20	B07N3435QH	23.99		24.99											
5S83005-GREY(020)-8	B07N34NFXS	23.99		24.99											
5S83005-RED-10/12	B07997DZ6V	26.99		24.99											
5S83005-RED-14/16	B07991HP4B	26.99		24.99											
5S83005-RED-18/20	B0799BY3T3	26.99		24.99											
5S83005-RED-8	B07992J635	26.99		24.99											
5S83005-TURQUOISE-10/12	B079961F8H	26.99		24.99											
5S83005-TURQUOISE-14/16	B079915L7Z	23.99		24.99											
5S83005-TURQUOISE-18/20	B07995S8QN	26.99		24.99											
5S83005-TURQUOISE-8	B07994B2YS	26.99		24.99											
5S85438-BERRY-L	B079LSFQQF	34.99		39.99	percent	5	5.00								
5S85438-BLACK-L	B079LVK8RD	34.99		39.99	percent	5	5.00								
5S85438-BLACK-M	B079LPLD5N	34.99		39.99	percent	5	5.00								
5S85438-BLACK-S	B079M4KV9Q	34.99		39.99	percent	5	5.00								
5S85438-BLACK-XL	B079M372QT	34.99		39.99	percent	5	5.00								
5S85438-TEAL-L	B079LNJWHK	34.99		39.99	percent	5	5.00								
5S85438-TEAL-XL	B079LS3BGR	34.99		39.99	percent	5	5.00								
5S86237-BLACK-2XL	B079J4VT6Z	34.99		29.99	percent	5	5.00								
5S86237-BLACK-XL	B079J4VXVC	34.99		29.99	percent	5	5.00								
5S86237-CHARCOAL-2XL	B079J628Q2	34.99		39.99	percent	5	5.00								
5S86237-CHARCOAL-L	B079J3S591	34.99		39.99	percent	5	5.00								
5S86237-CHARCOAL-XL	B079J4YWYK	34.99		39.99	percent	5	5.00								
5S86237-NAVY-2XL	B079J58LVR	34.99		29.99	percent	5	5.00								
5S86237-NAVY-L	B079J5CTCS	34.99		39.99	percent	5	5.00								
5S86237-NAVY-XL	B079J4L4ZJ	34.99		39.99	percent	5	5.00								
C911978-BLACK/YELLOW-S	B07B8KTHPD	12.99		14.99	percent	5	5.00								
C911978-BLUE-S	B07B8KJQ81	12.99		11.99	percent	5	5.00								
C911988-GRAVEL-S	B07B86CTMT	12.99		14.99	percent	5	5.00								
C911988-NAVY-S	B07B8MSKPC	12.99		14.99	percent	5	5.00								
C911988-WHITE-S	B07B8KJVM2	12.99		14.99	percent	5	5.00								
C941158-GRAVEL-S	B07B8BYQPF	9.99													
C941258-BLACK-L	B07B8DK67X	9.99													
C941258-BLACK-S	B07B8C1BDR	9.99													
C941258-WHITE-M	B07B8474HD	9.99													
C941258-WHITE-S	B07B8KJWSD	9.99													
C942078-BLACK-L	B07B8D3R4T	11.99													
C942078-BLACK-M	B07B86SLNK	9.99													
C942078-BLACK-S	B07B8GKVGJ	9.99													
C942078-GREY-L	B07B8B4FNJ	9.99													
C942078-GREY-M	B07B88PK8F	11.99													
C942078-GREY-S	B07B8BQPXJ	9.99													
CBX9252-BLACK/GREY(005)-10/12	B07T17F6YC	24.99													
CBX9252-BLACK/GREY(005)-14/16	B07T6KMWGP	24.99													
CBX9252-BLACK/GREY(005)-8	B07T5JGK1J	24.99													
CBX9252-BLACK/RED(011)-14/16	B07T5JG2CG	24.99													
CBX9252-GREY/ORANGE(040)-10/12	B07T26GP6C	24.99													
CBX9252-GREY/ORANGE(040)-14/16	B07T17FB3N	24.99													
CBX9252-GREY/ORANGE(040)-8	B07T373QPK	24.99													
CBX9252-NAVY/GREEN(424)-10/12	B07SZ3YDZY	24.99													
CBX9252-NAVY/GREEN(424)-14/16	B07T26RLY4	24.99													
CBX9447-BLACK HEATHER(113)-10/12	B07V6LF8HB	21.99													
CBX9447-BLACK HEATHER(113)-14/16	B07V5JQK84	21.99													
CBX9447-BLACK HEATHER(113)-4/5	B07V6LDSRX	21.99													
CBX9447-BLACK HEATHER(113)-6/7	B07V3FVPHJ	21.99													
CBX9447-BLACK HEATHER(113)-8	B07V4G26CG	21.99													
CBX9528-DK NAVY(471)-10/12	B07V3FTFTK	21.99													
CBX9528-DK NAVY(471)-14/16	B07V3FT388	21.99													
CBX9528-DK NAVY(471)-4/5	B07V29Z8BX	21.99													
CBX9528-DK NAVY(471)-6/7	B07V6GQ8X6	21.99													
CBX9528-DK NAVY(471)-8	B07V6LJC8X	21.99													
CBX9529-HEATHER GREY/BLACK(033)-10/12	B07V6MFX6M	21.99													
CBX9529-HEATHER GREY/BLACK(033)-14/16	B07V3FSQNB	21.99													
CBX9529-HEATHER GREY/BLACK(033)-4/5	B07V29Z7JR	21.99													
CBX9529-HEATHER GREY/BLACK(033)-6/7	B07V6JG1P1	21.99													
CBX9529-HEATHER GREY/BLACK(033)-8	B07V7HX4SQ	21.99													
CBX9529-RED/NAVY(604)-10/12	B07V3FVFNP	21.99													
CBX9529-RED/NAVY(604)-14/16	B07V3FVM85	21.99													
CBX9529-RED/NAVY(604)-4/5	B07V29ZB1V	21.99													
CBX9529-RED/NAVY(604)-6/7	B07V3FVLPN	21.99													
CBX9529-RED/NAVY(604)-8	B07V6JSKH9	21.99													
CGX9659-FUSCHIA(652)-10/12	B07V4G1Q92	19.99													
CGX9659-FUSCHIA(652)-14/16	B07V5JQMV9	19.99													
CGX9659-FUSCHIA(652)-4/5	B07V6LD5MW	19.99													
CGX9659-FUSCHIA(652)-6/6X	B07V6K4TC1	19.99													
CGX9659-FUSCHIA(652)-7/8	B07V3FW18L	19.99													
CGX9659-PURPLE(500)-10/12	B07V29ZD1R	19.99													
CGX9659-PURPLE(500)-14/16	B07V4G1QLY	19.99													
CGX9659-PURPLE(500)-4/5	B07V6M2Z9L	19.99													
CGX9659-PURPLE(500)-6/6X	B07V5JN2QG	19.99													
CGX9659-PURPLE(500)-7/8	B07V6GSN6Q	19.99													
CGX9661-BLACK_WHITE(003)-10/12	B07V4G2KP5	19.99													
CGX9661-BLACK_WHITE(003)-14/16	B07V5JQDQF	19.99													
CGX9661-BLACK_WHITE(003)-4/5	B07V6M9P1Q	19.99													
CGX9661-BLACK_WHITE(003)-6/6X	B07V4G1TGQ	19.99													
CGX9661-BLACK_WHITE(003)-7/8	B07V3FVBQD	19.99													
CGX9661-PINK_FUCHSIA(653)-10/12	B07V7HHPSP	19.99													
CGX9661-PINK_FUCHSIA(653)-14/16	B07V29ZFBH	19.99													
CGX9661-PINK_FUCHSIA(653)-4/5	B07V3FVRDB	19.99													
CGX9661-PINK_FUCHSIA(653)-6/6X	B07V6HH9J8	19.99													
CGX9661-PINK_FUCHSIA(653)-7/8	B07V7HS2GH	19.99													
CGX9994-BLACK(001)-10/12	B07QC8DKNJ	16.99													
CGX9994-BLACK(001)-14/16	B07QD736JQ	17.99													
CGX9994-BLACK(001)-4/5	B07QC8D9GV	16.99													
CGX9994-BLACK(001)-6/6X	B07QGG7FYG	16.99													
CGX9994-BLACK(001)-7/8	B07QC8F395	16.99													
CGX9994-GREYHEATHER(031)-10/12	B07QGFCW9C	16.99													
CGX9994-GREYHEATHER(031)-14/16	B07QFB4BTX	17.99													
CGX9994-GREYHEATHER(031)-4/5	B07QGG6Y4P	16.99													
CGX9994-GREYHEATHER(031)-6/6X	B07QC8F1PM	16.99													
CGX9994-GREYHEATHER(031)-7/8	B07QB8LP9P	16.99													
CGX9995-BLACK/HOT PINK(607)-10/12	B07QHCRLGW	14.99													
CGX9995-BLACK/HOT PINK(607)-14/16	B07QD72MWQ	16.99													
CGX9995-BLACK/HOT PINK(607)-4/5	B07QB8MZZN	14.99													
CGX9995-BLACK/HOT PINK(607)-6/6X	B07QC8DYRZ	14.99													
CGX9995-BLACK/HOT PINK(607)-7/8	B07QHGGJ96	16.99													
CGX9995-PURPLE(500)-10/12	B07QD7295J	16.99													
CGX9995-PURPLE(500)-14/16	B07QC8FK2N	14.99													
CGX9995-PURPLE(500)-4/5	B07QGG3FQ5	14.99													
CGX9995-PURPLE(500)-6/6X	B07QHC4QB1	14.99													
CGX9995-PURPLE(500)-7/8	B07QGG7ZMY	14.99													
CMS9604A-BLACK-BLACK/BLUE(010)-L	B07NLCK7JC	19.99		19.99	percent	5	5.00								
CMS9604A-BLACK-BLACK/BLUE(010)-M	B07NLHYMKC	19.99		19.99	percent	5	5.00								
CMS9604A-BLACK-BLACK/BLUE(010)-S	B07NLGKNMJ	19.99		19.99	percent	5	5.00								
CMS9604A-BLACK-BLACK/BLUE(010)-XL	B07NLJ96LX	19.99		19.99	percent	5	5.00								
CMS9604A-BLACK-CONCRETE(075)-L	B07NLHF2BS	17.99		19.99	percent	5	5.00								
CMS9604A-BLACK-CONCRETE(075)-M	B07NLJQ1H4	19.99		19.99	percent	5	5.00								
CMS9604A-BLACK-CONCRETE(075)-S	B07NLK27SQ	19.99		19.99	percent	5	5.00								
CMS9604A-BLACK-CONCRETE(075)-XL	B07NLHY8M8	19.99		19.99	percent	5	5.00								
CMS9604A-BLACK-WHITE(003)-L	B07NLJ82SB	19.99		19.99	percent	5	5.00								
CMS9604A-BLACK-WHITE(003)-M	B07NLHDWMG	19.99		19.99	percent	5	5.00								
CMS9604A-BLACK-WHITE(003)-S	B07NLJHJHF	19.99		19.99	percent	5	5.00								
CMS9604A-BLACK-WHITE(003)-XL	B07NLH837C	19.99		19.99	percent	5	5.00								
CMS9604A-WHITE-CONCRETE(153)-L	B07NLC1JJH	19.99		19.99	percent	5	5.00								
CMS9604A-WHITE-CONCRETE(153)-M	B07NLL3H79	19.99		19.99	percent	5	5.00								
CMS9604A-WHITE-CONCRETE(153)-S	B07NLJ2CX5	19.99		19.99	percent	5	5.00								
CMS9604A-WHITE-CONCRETE(153)-XL	B07NLJCJPL	19.99		19.99	percent	5	5.00								
CMS9718-BLACK(001)-L	B07LCTDS3T	13.99		19.99	percent	5	5.00								
CMS9718-BLACK(001)-M	B07LCRNR1L	13.99		19.99	percent	5	5.00								
CMS9718-BLACK(001)-S	B07LCT4PYT	13.99		19.99	percent	5	5.00								
CMS9718-CONCRETE(078)-L	B07LCR769D	13.99		19.99	percent	5	5.00								
CMS9718-CONCRETE(078)-M	B07LCSLZDX	13.99		19.99	percent	5	5.00								
CMS9718-CONCRETE(078)-S	B07LCRHP8C	13.99		19.99	percent	5	5.00								
CMS9718-CONCRETE(078)-XL	B07LCSTWHW	13.99		19.99	percent	5	5.00								
CMS9718-DARK-NAVY(471)-L	B07LCJV5VM	13.99		19.99	percent	5	5.00								
CMS9718-DARK-NAVY(471)-M	B07LCQL31D	13.99		19.99	percent	5	5.00								
CMS9718-DARK-NAVY(471)-S	B07LCLYF18	13.99		19.99	percent	5	5.00								
CMS9718-DARK-NAVY(471)-XL	B07LCSD625	13.99		19.99	percent	5	5.00								
CMS9718-DUSTY-OLIVE(340)-L	B07LCS9ZP1	13.99		19.99	percent	5	5.00								
CMS9718-DUSTY-OLIVE(340)-M	B07LCSCPG5	13.99		19.99	percent	5	5.00								
CMS9718-DUSTY-OLIVE(340)-S	B07LCSCG2X	13.99		19.99	percent	5	5.00								
CMS9718-DUSTY-OLIVE(340)-XL	B07LCRHNWQ	13.99		19.99	percent	5	5.00								
CMT9603A-BLACK/WHITE(003)-L	B07NLHF7HL	19.99													
CMT9603A-BLACK/WHITE(003)-M	B07NLHM43X	19.99													
CMT9603A-BLACK/WHITE(003)-S	B07NLK59C9	19.99													
CMT9603A-BLACK/WHITE(003)-XL	B07NLJ95S7	19.99													
CMT9603A-CONCRETE/WHITE(153)-L	B07NLJH2ZR	19.99													
CMT9603A-CONCRETE/WHITE(153)-M	B07NLJ5Y64	19.99													
CMT9603A-CONCRETE/WHITE(153)-S	B07NLHGSN6	19.99													
CMT9603A-CONCRETE/WHITE(153)-XL	B07NLJNR29	19.99													
CMT9603A-SPEEDBLUE/CONCRETE(045)-M	B07NLL5VM3	19.99													
CMT9603A-SPEEDBLUE/CONCRETE(045)-S	B07NLK4PLP	19.99													
CMT9603A-SPEEDBLUE/CONCRETE(045)-XL	B07NLH8MG6	19.99													
CMT9603A-WHITE/BLUE(105)-L	B07NLJH81Y	19.99													
CMT9603A-WHITE/BLUE(105)-M	B07NLJCHKW	19.99													
CMT9603A-WHITE/BLUE(105)-S	B07NLHVJ7M	17.99													
CMT9603A-WHITE/BLUE(105)-XL	B07NLJP8MP	19.99													
CMT9605-BLACK(001)-L	B07L17NYSZ	12.99													
CMT9605-BLACK(001)-M	B07L1821WC	12.99													
CMT9605-BLACK(001)-S	B07L19J1PQ	12.99													
CMT9605-BLACK(001)-XL	B07L18VP6Y	12.99													
CMT9605-ORANGE-SUNSET(800)-S	B07L17KVS3	12.99													
CMT9605-TAN(227)-L	B07L15TJX9	12.99													
CMT9605-TAN(227)-S	B07L16HY3W	12.99													
CMT9605-TAN(227)-XL	B07L16YHN4	12.99													
CMT9605-TEAL-VAPOR(456)-L	B07L17HDSS	12.99													
CMT9605-TEAL-VAPOR(456)-S	B07L16WMQZ	12.99													
CMT9605-TEAL-VAPOR(456)-XL	B07L17QF5J	12.99													
H812548-GREY/GREY-10/12	B077T32D6T	19.99													
H812548-Grey/Black-18/20	B077TB4PZ7	19.99													
H812568-Dark Grey-8	B077T6QFDD	19.99													
H824887-HTHR GREY-18/20	B074TXHL61	16.99													
H843517-DARK NAVY-14/16	B074TTYRZG	24.99													
H843517-DARK NAVY-18/20	B074TZLF5P	17.99													
H851567-BURGUNDY-18/20	B074TKG38H	16.99													
H851567-BURGUNDY-8	B074TWQ9XV	19.99													
H851567-CHARCOAL-18/20	B074TQVX71	22.99													
H851567-HTHR GREY-8	B074TJZKZF	16.99													
H851717-FIRE RED-10/12	B0773TXQRF	20.99													
H867738-GREY-10/12	B077SQJTSR	16.99													
H867738-GREY-8	B0784VHDZT	9.99													
H867738-GREY/RED-8	B077SRJW1W	17.99													
H868458-ORANGE-10/12	B078C68CZ9	18.99													
H868458-ORANGE-8	B077T1LM4T	17.99													
H868468-DEEP BLUE-10/12	B077SRK1LY	9.99													
H868468-DEEP BLUE-14/16	B078C7FQ6P	16.99													
H915298-BLUE COMBO(089)-S	B0764JMN15	11.99		11.99	percent	5	5.00								
H915298-GREEN(300)-S	B0764JMLTJ	9.99		16.99	percent	5	5.00								
H915298-GREY(019)-M	B0764MLHR8	11.99		11.99	percent	5	5.00								
H915298-GREY(019)-S	B0764GW6L6	11.99		11.99	percent	5	5.00								
H915547 - BLUE - SIZE L	B06XBQGHX4	7.99		7.99	percent	5	5.00								
H915547 - BLUE - SIZE M	B06XBZPJD7	14.99		14.99	percent	5	5.00								
H915547 - KHAKI - SIZE M	B06XBQGJHM	11.99		11.99	percent	5	5.00								
H916698-BLUE HTHR(434)-M	B075JM2ZP4	21.99		21.99	percent	5	5.00								
H916698-CHARCOAL(019)-M	B075JF4KW9	18.99		18.99	percent	5	5.00								
H916698-CHARCOAL(019)-S	B07D5JDBKJ	16.99		16.99	percent	5	5.00								
H916698-HTHR GREY(031)-M	B075JF4KWG	16.99		16.99	percent	5	5.00								
H917068-AQUA(455)-M	B075FH21VM	18.99		18.99	percent	5	5.00								
H917068-BLUE/HEATHER(434)-S	B07CZ5996B	11.99		11.99	percent	5	5.00								
H917068-BLUE/HEATHER(435)-M	B075FGYWZB	11.99		16.99	percent	5	5.00								
H917068-BLUE/HEATHER(436)-L	B075FL6WDZ	16.99		16.99	percent	5	5.00								
H917068-CHARCOAL(019)-M	B075FLC5F7	14.99		16.99	percent	5	5.00								
H917068-CHARCOAL(019)-S	B07CZ5D5K1	20.99		20.99	percent	5	5.00								
H918368-BLUE COMBO(089)-L	B0763WR1B1	16.99		11.99	percent	5	5.00								
H918368-BLUE COMBO(089)-S	B0763YDBMF	9.99		11.99	percent	5	5.00								
H918368-GREY(020)-L	B0763WS7J3	16.99		11.99	percent	5	5.00								
HBK00287-BLK HTHR-8	B074TJ7HXX	16.99													
HBK00287-BLUE-10/12	B074TVYFWM	16.99													
HBK00287-BLUE-14/16	B074TK11LW	16.99													
HBK00287-BLUE-18/20	B074TQ93D2	16.99													
HBK00287-HTHR GREY-18/20	B074TTWB96	19.99													
HBK00287-HTHR GREY-8	B074TJ188B	16.99													
